,Area,Type,Price,Apartment Name
273,"Boisar, Palghar","1 RK, 1, 2 BHK Apartments",10.48 L - 21.12 L,Mahindra Happinest Boisar Phase III
274,"Boisar, Palghar","1, 2 BHK Apartments",16.1 L - 20.86 L,Ananta Adore Garden
275,"Boisar, Palghar","1 RK, 1 BHK Apartments",Price on Request,Horizon Garden
276,"Boisar, Palghar",1 BHK Apartment,Price on Request,Shree Township Building 5 Type A Being No 11
277,"Boisar, Palghar","1, 2 BHK Apartments",16.1 L - 22.33 L,Soham Gardens
278,"Boisar, Palghar","1, 2 BHK Apartments",15.25 L - 18.75 L,RR Dharmi
279,"Boisar, Palghar","1, 2 BHK Apartments",16.24 L - 21.84 L,Shree Garden
280,"Boisar, Palghar",1 BHK Apartment,Price on Request,Rajesh Mahavir Kunj C
281,Palghar,"1, 2 BHK Apartments",28.98 L - 35.46 L,Shirdi Yamuna Centrale
282,Palghar,"1 RK, 1, 2 BHK Apartments",Price on Request,Ajay Raj Complex Bldg No 1 To 4
283,"Boisar, Palghar","1, 2 BHK Apartments",Price on Request,Aarya Pranav Apartment
284,"Boisar, Palghar","1, 2, 3 BHK Apartments",10.5k - 36.23 L,Goldstar Luxury Empire Township
285,"Boisar, Palghar",1 BHK Apartment,Price on Request,Royal Lavanya Apartment
286,"Boisar, Palghar","1, 2 BHK Apartments",15.42 L - 20.61 L,Shyam Sagar Spring Field
287,Palghar,1 BHK Apartment,8.96 L - 8.99 L,Famid Suman Vastu Apartment
288,Palghar,"1, 2 BHK Apartments",8.86 L - 20.76 L,Gundecha Woods Phase 1
289,"Boisar, Palghar",1 BHK Apartment,13.2 L,Classic Plaza
290,"Boisar, Palghar",1 BHK Apartment,16.15 L,Supertech Green Hill View
291,Palghar,2 BHK Apartment,23.48 L - 27.8 L,Imperial Sai Darshan Type C
292,"Boisar, Palghar","1, 2 BHK Apartments",12.48 L - 19.2 L,Shaligram Township Building No-1
293,"Boisar, Palghar","1, 1.5, 2 BHK Apartments",Price on Request,I K Hindustan Complex
294,"Juna Palghar, Palghar",1 BHK Apartment,Price on Request,RV 15 Manor Belvedere 2
295,"Bachu Bhai Dube Industrial Estate, Palghar","1 RK, 1, 2 BHK Apartments",Price on Request,Nemi Nitya Samarpan
296,"Vishnu Nagar, Palghar","1 RK, 1 BHK Apartments",Price on Request,Veena Samrajya Sector VIII
297,"Makane Kapase, Palghar","1 RK, 1, 2 BHK Apartments",12.4 L - 22.94 L,Nine Star Landmark Ph I Bldg 3 Iris
298,"Vevoor, Palghar","1, 2 BHK Apartments",Price on Request,KK Supreme Point Phase II
299,"Tembhode, Palghar","1, 2 BHK Apartments",Price on Request,Akruti Konark
300,"Makane Kapase, Palghar","1, 2 BHK Apartments",Price on Request,Nine Star Landmark PH 1 Blg 4 Lily
301,"Makane Kapase, Palghar","1 RK, 1, 2 BHK Apartments",10.9 L - 22.9 L,Nine Star Residency Phalguni
302,"Haranwali, Palghar","1, 2 BHK Apartments",Price on Request,Sanmukh Sunshine
303,"Vevoor, Palghar","1, 2 BHK Apartments",Price on Request,Aadinath Kanchan Giri
304,"Zanzroli, Palghar","1 RK, 1 BHK Apartments",Price on Request,Sambhav Abhi Paradise
305,"Makane Kapase, Palghar","1 RK, 1, 2 BHK Apartments",12.6 L - 24.5 L,Nine Star Residency Revati
306,"Makane Kapase, Palghar","1, 2 BHK Apartments",Price on Request,Nine Nine Star Residency Purva
307,"Makane Kapase, Palghar","1, 2 BHK Apartments",18.0 L - 25.0 L,Nine Star Residency Rohini Building
308,"Makane Kapase, Palghar","1 RK, 1, 2 BHK Apartments",12.6 L - 24.5 L,Nine Star Residency Kritika
309,"Mahim, Palghar","1 RK, 1 BHK Apartments",Price on Request,Bhoomi Parshvi Apartment
310,"Boisar, Palghar","1, 2 BHK Apartments",17.91 L - 23.5 L,Shubh Vinayraj Regency
311,"Boisar, Palghar",1 BHK Apartment,Price on Request,Imax Royal Garden
312,"Boisar, Palghar","1, 2 BHK Apartments",Price on Request,Roop Park
313,"Boisar, Palghar",1 BHK Apartment,14.5 L,Nest Lotus
314,Palghar,"1 RK, 1, 2 BHK Apartments",Price on Request,Ajay Raj Complex
315,"Damkhind, Palghar","1, 2, 3, 4 BHK Apartments",Price on Request,CRD Gardenia
316,"Boisar, Palghar","1, 2 BHK Apartments",Price on Request,Sagar Shree Ganesh Apartment
317,"Boisar, Palghar","1, 2 BHK Apartments",14.71 L - 18.42 L,K M Residency
318,Palghar,"1, 2 BHK Apartments",Price on Request,RK Apartment 2
319,"Boisar, Palghar",1 BHK Apartment,Price on Request,Tate Ideal Park
320,"Boisar, Palghar",1 BHK Apartment,Price on Request,Kritika Shaligram Township Bldg 4
321,Palghar,1 BHK Apartment,Price on Request,RK Apartment
322,Palghar,1 BHK Apartment,Price on Request,SP Relax Homes
323,Palghar,"1 RK, 1, 2 BHK Apartments",Price on Request,Empire Devakinagar
